key,alt,answer,audio
校門,"xiàomén (校門, 校门)",school gate,top8/1.mp3
複句,"fùjù (複句, 复句)",sentence of two or more clauses,top8/2.mp3
率,"shuài (率, 率)","lead, command",top8/3.mp3
診所,"zhěnsuǒ (診所, 诊所)",clinic,top8/4.mp3
準則,"zhǔnzé (準則, 准则)","guideline, formula, principle, practice, norm, rule of thumb, standard, verity, criterion, canon, touchstone, basis, guidepost, maxim",top8/5.mp3
畫展,"huàzhǎn (畫展, 画展)","art/paintings exhibition, art_exhibition, exhibition of paintings, art exhibition, art, paintings exhibition",top8/6.mp3
絕望,"juéwàng (絕望, 绝望)","give up all hope, despair",top8/7.mp3
期刊,"qíkān (期刊, 期刊)","journal, bulletin, periodical",top8/8.mp3
裁判,"cáipàn (裁判, 裁判)","judge, referee, umpire",top8/9.mp3
婦人,"fùrén (婦人, 妇人)",married woman,top8/10.mp3
神祕,"shénmì (神祕, 神祕)","mysterious, mystical",top8/11.mp3
荒謬,"huāngmiù (荒謬, 荒谬)","absurd, preposterous",top8/12.mp3
理會,"lǐhuì (理會, 理会)","understand, comprehend, take notice of, pay attention to",top8/13.mp3
院子,"yuànzi5 (院子, 院子)","patio, court, courtyard, yard, compound",top8/14.mp3
全身,"quánshēn (全身, 全身)","mutton, the whole body, em, whole body, mut",top8/15.mp3
罷工,"bàgōng (罷工, 罢工)",go on strike,top8/16.mp3
仰賴,"yǎnglài (仰賴, 仰赖)","look_to, rely_on, lie, lean, cling, rely on, repose_on, rest",top8/17.mp3
佈置,"bùzhì (佈置, 佈置)","arrange, fix up, assign",top8/18.mp3
更改,"gēnggǎi (更改, 更改)","change, alter",top8/19.mp3
幼蟲,"yòuchóng (幼蟲, 幼虫)","nit, embryo, grub, larva",top8/20.mp3
瓦解,"wǎjiě (瓦解, 瓦解)","disintegrate, collapse",top8/21.mp3
入境,"rùjìng (入境, 入境)",enter a country,top8/22.mp3
古董,"gǔdǒng (古董, 古董)","old fogey, curio, antique, virtu, vertu, bygone, bric a brac",top8/23.mp3
蘇,"sū (蘇, 苏)","short for Suzhou, short for Jiangsu province, short for former Soviet Union",top8/24.mp3
嚴厲,"yánlì (嚴厲, 严厉)","stern, toughen, maul, severe",top8/25.mp3
識,"shì (識, 识)","know, recognize",top8/26.mp3
禪師,"chánshī (禪師, 禅师)","honorific title for a Buddhist monk, Zen master",top8/27.mp3
蔡,"cài (蔡, 蔡)","Cai, Surname",top8/28.mp3
闢,"pì (闢, 闢)","open/set up, start, build",top8/29.mp3
差點,"chādiǎn (差點, 差点)",almost,top8/30.mp3
健保,"jiànbǎo (健保, 健保)",National Health Insurance,top8/31.mp3
美化,"měihuà (美化, 美化)","beautify, embellish",top8/32.mp3
表格,"biǎogé (表格, 表格)","tabular array, tabulation, table, form, blank, tabular matter",top8/33.mp3
穿著,"chuānzhuó (穿著, 穿着)","dress, apparel",top8/34.mp3
建檔,"jiàndǎng (建檔, 建档)",place on file,top8/35.mp3
思維,"sīwéi (思維, 思维)","thought, thinking",top8/36.mp3
系主任,"xìzhǔrèn (系主任, 系主任)","academic administrator, dean, chairman",top8/37.mp3
抗拒,"kàngjù (抗拒, 抗拒)","resist, defy",top8/38.mp3
身長,"shēncháng (身長, 身长)",height of person,top8/39.mp3
低頭,"dītóu (低頭, 低头)","submission, surrender, submit, bow/hang one's head, bow, crouch, lower, yield, hang one's head, bow one's head, lower one's head",top8/40.mp3
往事,"wǎngshì (往事, 往事)","past, the past, past events",top8/41.mp3
毀,"huǐ (毀, 毁)","destruction, ruin, slay, damage, slander, spoil, bugger up, burn up, refashion, make over, destroy, defame, demolish",top8/42.mp3
惡,"è (惡, 恶)","evil, wicked, vicious",top8/43.mp3
華裔,"huáyì (華裔, 华裔)",foreign citizen of Ch. origin,top8/44.mp3
窗戶,"chuānghù (窗戶, 窗户)","window, casement",top8/45.mp3
隕石,"yǔnshí (隕石, 陨石)","meteorite, meteor, aerolite, stony meteorite",top8/46.mp3
週刊,"zhōukān (週刊, 週刊)","supplement, weekly, weekly publication",top8/47.mp3
德,"dé (德, 德)","morality, virtue, kindness",top8/48.mp3
無可,"wúkě (無可, 无可)",cannot,top8/49.mp3
陽明山,"yángmíngshān (陽明山, 阳明山)","Yangmingshan, mountain in Taiwan",top8/50.mp3
發表會,"fābiǎohuì (發表會, 发表会)","news conference, briefing",top8/51.mp3
高峰,"gāofēng (高峰, 高峰)","summit, apex, alp, vertex, acme, peak, height, pinnacle, high, all time high",top8/52.mp3
歌劇,"gējù (歌劇, 歌剧)","revue, melodrama, opus, operatic, opera",top8/53.mp3
莊嚴,"zhuāngyán (莊嚴, 庄严)","solemn, dignified, stately",top8/54.mp3
祝福,"zhùfú (祝福, 祝福)","invoke blessing, wish happiness to",top8/55.mp3
酒精,"jiǔjīng (酒精, 酒精)","ethanol, alcoholic, spirits of wine, alcohol, ardent spirits, ethyl alcohol, spirit, aqua vitae",top8/56.mp3
毫無,"háowú (毫無, 毫无)",not at all,top8/57.mp3
出入,"chūrù (出入, 出入)",come in and go out,top8/58.mp3
布條,"bùtiáo (布條, 布条)","list, strips of cloth",top8/59.mp3
本土化,"běntǔhuà (本土化, 本土化)",indigenization,top8/60.mp3
史料,"shǐliào (史料, 史料)","historical data/materials, materials, historical data, historical materials, annals",top8/61.mp3
失誤,"shīwù (失誤, 失误)",mistake,top8/62.mp3
再生,"zàishēng (再生, 再生)","be reborn, regenerate",top8/63.mp3
中外,"zhōngwài (中外, 中外)",China and foreign countries,top8/64.mp3
預約,"yūyuē (預約, 预约)",make an appointment,top8/65.mp3
文人,"wénrén (文人, 文人)","man of letters,  scholar,  literati,  civilian vs. military",top8/66.mp3
總務處,"zǒngwùchù (總務處, 总务处)",general affairs section,top8/67.mp3
天性,"tiānxìng (天性, 天性)","natural instincts,  nature",top8/68.mp3
拓寬,"tuòkuān (拓寬, 拓宽)",broaden,top8/69.mp3
巧,"qiǎo (巧, 巧)","clever, intelligent, skillful, ingenious, artful, deceiving, pretty, cute, opportune, fortuitous, coincidental",top8/70.mp3
務必,"wùbì (務必, 务必)","by_any_means, always, must, should, be",top8/71.mp3
蔣,"jiǎng (蔣, 蒋)","Jiang, Surname",top8/72.mp3
反射,"fǎnshè (反射, 反射)",reflect,top8/73.mp3
示威,"shìwēi (示威, 示威)","put on show of force, demonstrate, march",top8/74.mp3
返國,"fǎnguó (返國, 返国)",return to one's country,top8/75.mp3
角逐,"jiǎozhú (角逐, 角逐)","contend, tussle",top8/76.mp3
休假,"xiūjià (休假, 休假)",have holiday/vacation/leave,top8/77.mp3
放進,"fàngjìn (放進, 放进)",put in,top8/78.mp3
好意思,"hǎoyìsī (好意思, 好意思)","how can one have the nerve, how can one have the face, have the nerve",top8/79.mp3
要件,"yàojiàn (要件, 要件)",important document,top8/80.mp3
成群,"chéngqún (成群, 成群)","cluster, in large numbers, in groups",top8/81.mp3
建材,"jiàncái (建材, 建材)","fixture, fitting, building materials, structural member, building material",top8/82.mp3
地獄,"dìyū (地獄, 地狱)","the pit, hell, infernal, pandemonium, abyss, underworld, ballyhack, Hades, hades, blaze, Sheol, infernal region, Gehenna, Tartarus, Avernus, Topheth, Tophet, heck, nether region, Scheol, Acheron, perdition, the lower regions, Abaddon, netherworld, Hel, Inferno, inferno, Hell",top8/83.mp3
光榮,"guāngróng (光榮, 光荣)","honor, glory, credit",top8/84.mp3
協辦,"xiébàn (協辦, 协办)",do sth. jointly,top8/85.mp3
協調會,"xiétiáohuì (協調會, 协调会)",consultation,top8/86.mp3
目的地,"mùdìdì (目的地, 目的地)","bourn, goal, destination, terminus, bourne",top8/87.mp3
別墅,"biéshù (別墅, 别墅)",villa,top8/88.mp3
迫使,"pòshǐ (迫使, 迫使)","distress, obligate, intrude, exact, haze, enforce, feeze, pressure, tie_down, force, compel, enjoin, flog, insist, condemn, oblige, thrust, impel, necessitate, drive, hurl, sell_up, nail_down, make, corner",top8/89.mp3
徘徊,"páihuái (徘徊, 徘徊)","perambulate, fluctuate, roll, hesitation, mosey, pace up and down, tarry, divagate, peripatetic, roam, stray, vacillate, linger, hover, rove, cast, pace back and forth, cruise, stravage, dally, maunder, wander, loiter, stroll, stooge, waver, drift, on the prowl, range, swan, hang_around, prowl, vagabond, fluctuation, ramble, hesitate, traik, skulk",top8/90.mp3
啟示,"qǐshì (啟示, 启示)","apocalypse, illumination, revelation",top8/91.mp3
降,"jiàng (降, 降)","fall, drop, lower",top8/92.mp3
贈送,"zèngsòng (贈送, 赠送)","present, complimentary, ladle, give_away, present ... as a gift, proffer, gift, give, present as gift, donate, compliment, give ... as a present",top8/93.mp3
面談,"miàntán (面談, 面谈)",discuss face to face,top8/94.mp3
便於,"biànyú (便於, 便于)","easy to, convenient for",top8/95.mp3
傢伙,"jiāhuǒ (傢伙, 傢伙)","bastard, gent, bounder, gink, son of a",top8/96.mp3
家用,"jiāyòng (家用, 家用)",family used,top8/97.mp3
