key,alt,answer,audio
車程,"chēchéng (車程, 车程)",mileage,top10/1.mp3
席,"xí (席, 席)",m.[general],top10/2.mp3
郊遊,"jiāoyóu (郊遊, 郊遊)","outing, excursion",top10/3.mp3
侵蝕,"qīnshí (侵蝕, 侵蚀)","corrode, erode",top10/4.mp3
出口,"chūkǒu (出口, 出口)",exit,top10/5.mp3
元帥,"yuánshuài (元帥, 元帅)","marshal, supreme commander",top10/6.mp3
外語,"wàiyǔ (外語, 外语)",foreign language,top10/7.mp3
大勢,"dàshì (大勢, 大势)","general trend, general trend of events",top10/8.mp3
升等,"shēngděng (升等, 升等)",go up in grade/etc.,top10/9.mp3
工商,"gōngshāng (工商, 工商)",industry and commerce,top10/10.mp3
上空,"shàngkōng (上空, 上空)","in the sky, overhead",top10/11.mp3
久久,"jiǔjiǔ (久久, 久久)","for a long,  long time, for a long long time",top10/12.mp3
不復,"búfù (不復, 不复)","no more, no longer, more",top10/13.mp3
禮貌,"lǐmào (禮貌, 礼貌)","courtesy,  politeness,  manners",top10/14.mp3
讀取,"dúqǔ (讀取, 读取)",access,top10/15.mp3
穩定性,"wěndìngxìng (穩定性, 稳定性)","stability,  stabilization",top10/16.mp3
工學院,"gōngxuéyuàn (工學院, 工学院)","institute of polytechnic, college of engineering, polytechnic",top10/17.mp3
生物學,"shēngwùxué (生物學, 生物学)",biology,top10/18.mp3
大使,"dàshǐ (大使, 大使)","elchee, embassador, ambassadorial, nuncio, ambassadorship, ambassador",top10/19.mp3
出獄,"chūyū (出獄, 出狱)",get out of jail,top10/20.mp3
用意,"yòngyì (用意, 用意)","intention, purpose",top10/21.mp3
北醫,"běiyī (北醫, 北医)",Taipei Medical College,top10/22.mp3
內湖,"nèihú (內湖, 内湖)",Nei hu,top10/23.mp3
二來,"èrlái (二來, 二来)",conj.: in the second place,top10/24.mp3
口水,"kǒushuǐ (口水, 口水)","spit, slobber, drivel, spittle, saliva, slaver, drool, dribble",top10/25.mp3
顛覆,"diānfù (顛覆, 颠覆)","overturn,  subvert",top10/26.mp3
敘述,"xùshù (敘述, 叙述)","consideration, delineation, depiction, description",top10/27.mp3
專人,"zhuānrén (專人, 专人)",person specially assigned for a task/job,top10/28.mp3
閉,"bì (閉, 闭)","shut, stop, close, stop up, obstruct, switch off, obstruction, turn off, seel",top10/29.mp3
排放,"páifàng (排放, 排放)","discharge,  drain off gas/etc.",top10/30.mp3
馬達,"mǎdá (馬達, 马达)",motor,top10/31.mp3
氣味,"qìwèi (氣味, 气味)","tang, wind, odor, savor, aurae, tint, flavor, leavening, savour, flavour, leaven, odour, aura, smatch, tinge, smell, smack, scent, taste",top10/32.mp3
效力,"xiàolì (效力, 效力)",effect,top10/33.mp3
高爾夫球,"gāoěrfūqiú (高爾夫球, 高尔夫球)",golf ball,top10/34.mp3
終點,"zhōngdiǎn (終點, 终点)","terminal point, destination, finish line",top10/35.mp3
教職員,"jiàozhíyuán (教職員, 教职员)",teaching and administrative staff,top10/36.mp3
桌椅,"zhuōyǐ (桌椅, 桌椅)",ordinary household furniture,top10/37.mp3
除去,"chúqù (除去, 除去)",eliminate,top10/38.mp3
