key,alt,answer,audio
用來,"yònglái (用來, 用来)","in order to, so as to",top3/1.mp3
修,"xiū (修, 修)","embellish, decorate, repair, mend, overhaul, build, construct, trim, prune",top3/2.mp3
機場,"jīchǎng (機場, 机场)","landing field, flying field, airfield, airport, airdrome, field, aerodrome",top3/3.mp3
中東,"zhōngdōng (中東, 中东)",Middle East,top3/4.mp3
不用,"búyòng (不用, 不用)",need not,top3/5.mp3
妹妹,"mèimèi (妹妹, 妹妹)","little_sister, sis, younger sister, little sister, sister",top3/6.mp3
顧問,"gùwèn (顧問, 顾问)","counsellor, advisor, councillor, friend, consultant, counsellorship, counselorship, adviser, counselor",top3/7.mp3
上市,"shàngshì (上市, 上市)",go/appear on market,top3/8.mp3
退休,"tuìxiū (退休, 退休)","to retire, to go into retirement, to step",top3/9.mp3
肯,"kěn (肯, 肯)",be willing/ready to,top3/10.mp3
早,"zǎo (早, 早)","early, premature",top3/11.mp3
權益,"quányì (權益, 权益)",rights and interests,top3/12.mp3
店,"diàn (店, 店)","shop, store, inn",top3/13.mp3
夠,"gòu (夠, 够)",quite,top3/14.mp3
決定,"juédìng (決定, 决定)","decision, resolution",top3/15.mp3
審查,"shěnchá (審查, 审查)","examine, investigate",top3/16.mp3
輕,"qīng (輕, 轻)","light, agile, alert, easy, simple, rash, reckless, unimportant, frivolous, slight, neglect",top3/17.mp3
處,"chù (處, 处)",m.[general],top3/18.mp3
望,"wàng (望, 望)","gaze into distance, observe",top3/19.mp3
年紀,"niánjì (年紀, 年纪)","years, old age, age",top3/20.mp3
交易,"jiāoyì (交易, 交易)","deal, trade, transaction",top3/21.mp3
房間,"fángjiān (房間, 房间)","apartment, aspect, houseroom, room, chamber, bedroom",top3/22.mp3
性格,"xìnggé (性格, 性格)","fibre, make up, mettle, humor, nature, complexion, capacity, mentality, mould, mold, being, streak, temperament, personality, character, fiber, disposition, strain, makeup, make",top3/23.mp3
畢竟,"bìjìng (畢竟, 毕竟)","after all, when all is said and",top3/24.mp3
詞典,"cídiǎn (詞典, 词典)","lexicon, dictionary",top3/25.mp3
平衡,"pínghéng (平衡, 平衡)",balance,top3/26.mp3
哦,"ó (哦, 哦)",softly chant poem ; recite,top3/27.mp3
苦,"kǔ (苦, 苦)","be troubled by, suffer from, cause sb. suffering, bitter",top3/28.mp3
拉,"lā (拉, 拉)","slit, press gang, help, solicit, lend a helping hand, canvass, draw, zoom, transport by",top3/29.mp3
大小,"dàxiǎo (大小, 大小)","calibre, measurement, admeasurement, bulk, proportion, magnitude, extent, degree of seniority, dimension, girth, size, adults and children",top3/30.mp3
佳,"jiā (佳, 佳)","fine, beautiful, distinguished",top3/31.mp3
保留,"bǎoliú (保留, 保留)","continue to have, retain, hold back, reserve",top3/32.mp3
玩具,"wánjù (玩具, 玩具)","yo yo, bauble, plaything, toy, teether, knickknack",top3/33.mp3
密切,"mìqiè (密切, 密切)","osculate, intimate, close",top3/34.mp3
不過,"búguò (不過, 不过)","only, merely",top3/35.mp3
打開,"dǎkāi (打開, 打开)","unscrew, undo, break_out, open up, unbar, unpack, unwind, shoot, turn, switch_on, open, switch on, unroll, turn/switch on, unclose, straighten, unfold, crack, unwrap, ope, turn_on, turn on, chop",top3/36.mp3
南,"nán (南, 南)","Yugoslavia, South, Nan, south, Surname, S, due south, austral, southern",top3/37.mp3
亂,"luàn (亂, 乱)","indiscriminate, riot, mix up, arbitrary, confused, throw into diorder, confuse, jumble, confusion, random, mishandle, in a turmoil, in",top3/38.mp3
予以,"yūyǐ (予以, 予以)",give,top3/39.mp3
供應,"gōngyìng (供應, 供应)",supply,top3/40.mp3
文明,"wénmíng (文明, 文明)","civilization, culture",top3/41.mp3
按,"àn (按, 按)","according to, in accordance with",top3/42.mp3
