key,alt,answer,audio
回家,"huíjiā (回家, 回家)",return home,top2/1.mp3
獨立,"dúlì (獨立, 独立)",stand alone,top2/2.mp3
英國,"yīngguó (英國, 英国)","Britain, Great_Britain, England, chapel, Great Britain, English, UK, reeve, John_Bull",top2/3.mp3
投資,"tóuzī (投資, 投资)",invest,top2/4.mp3
理論,"lǐlùn (理論, 理论)",theory,top2/5.mp3
面臨,"miànlín (面臨, 面临)","have, face, confront, envisage, flank, present, be faced with, be up against, bide, meet",top2/6.mp3
選手,"xuǎnshǒu (選手, 选手)","participant, basketeer, athlete selected for a sports meet, basketball player, jock, contestant, cap, cager, athlete, player, champ, performer, player selected as contestant",top2/7.mp3
分鐘,"fēnzhōng (分鐘, 分钟)",m.[standard],top2/8.mp3
內部,"nèibù (內部, 内部)","entrails, bowel, interior, inner, within, bosom, inside, innards, internal, inward",top2/9.mp3
西方,"xīfāng (西方, 西方)","the Occident, West, New World, occidental, westward, west, the West, the west, Hesperian, occident, Western, sunset, western hemisphere, western",top2/10.mp3
人家,"rénjiā (人家, 人家)","I used by females , dwelling, I, sb. else, sb. else's house, family, household",top2/11.mp3
準備,"zhǔnbèi (準備, 准备)","prepare, get ready",top2/12.mp3
眼睛,"yǎnjīng (眼睛, 眼睛)",eye,top2/13.mp3
如,"rú (如, 如)","conj.: if, supposing",top2/14.mp3
眼,"yǎn (眼, 眼)","eye, small hole, aperture, salient/weighted point, salient/weighted point",top2/15.mp3
離開,"líkāi (離開, 离开)","leave, depart/deviate from",top2/16.mp3
競爭,"jìngzhēng (競爭, 竞争)",competition,top2/17.mp3
專利,"zhuānlì (專利, 专利)",patent,top2/18.mp3
成果,"chéngguǒ (成果, 成果)","product, achievement, outcome, gain, production, fruit, positive result, progeny, job",top2/19.mp3
活,"huó (活, 活)","alive, live, vivid, save sb.'s life , activate, save, be",top2/20.mp3
心情,"xīnqíng (心情, 心情)","cognitive state, cue, frame of mind, form, stomach, pulse, humor, feeling, temper, state of mind, cheer, humour, frame/state of mind, mood, vein, spirit, feelings, frame, frame_of_mind, habit of mind, mind, tune",top2/21.mp3
介紹,"jièshào (介紹, 介绍)","introduce, present, recommend, suggest, let know, brief",top2/22.mp3
現場,"xiànchǎng (現場, 现场)","scene of an incident , location, site, locale, scene of a crime, locality, live, scene, spot, field",top2/23.mp3
突然,"túrán (突然, 突然)","suddenly, presto, unexpectedly, abruptly, at once, all_at_once, all together, all of a sudden, all at once",top2/24.mp3
客戶,"kèhù (客戶, 客户)","clientage, custom, customer, client, business, patronage, clientele",top2/25.mp3
間,"jiān (間, 间)","locality, room",top2/26.mp3
印象,"yìnxiàng (印象, 印象)","effect, mark, impress, embossment, impressional, image, imprint, engram, sound, intuition, impression",top2/27.mp3
花,"huā (花, 花)","spend, expend, cost",top2/28.mp3
海,"hǎi (海, 海)","water, foam, bottom, main, huge group of people, Surname, sea catfish, the sea, sea, mare, drink, fishpond, briny, great capacity, Neptune, billow, huge group of things, depth, waters, pond, wave, brine, big lake",top2/29.mp3
真正,"zhēnzhèng (真正, 真正)","genuine, true, real",top2/30.mp3
保持,"bǎochí (保持, 保持)","keep, maintain, preserve",top2/31.mp3
時期,"shíqí (時期, 时期)","epoch, season, date, period_of_time, phase, day, occasion, estate, period, length, period of time , phase angle, stage, conjuncture, chapter, times, era, leg, guardianship",top2/32.mp3
層,"céng (層, 层)",m.[proximation],top2/33.mp3
方便,"fāngbiàn (方便, 方便)",convenient,top2/34.mp3
幫助,"bāngzhù (幫助, 帮助)","aid, bridge_over, help, bestead, bring_on, tide_over, serve, support, facilitate, accommodate, carry_through, assist, administer, attend_to, assistance, befriend, further, favour",top2/35.mp3
基礎,"jīchǔ (基礎, 基础)","base, foundation",top2/36.mp3
個人,"gèrén (個人, 个人)","individual person, man_jack, personal, individual person , man jack, individual, individuality, identity",top2/37.mp3
新竹,"xīnzhú (新竹, 新竹)",Hsin Chu city in Taiwan,top2/38.mp3
李,"lǐ (李, 李)","plum, Lee, Surname, Li",top2/39.mp3
生,"shēng (生, 生)","give birth to, bear, grow, get, have, cause to happen, make a fire , exist, live",top2/40.mp3
圖書館,"túshūguǎn (圖書館, 图书馆)",library,top2/41.mp3
她們,"tāmen (她們, 她们)",they female,top2/42.mp3
美元,"měiyuán (美元, 美元)",m.[standard],top2/43.mp3
