key,alt,answer,audio
嘿,"hēi (嘿, 嘿)",hey!,top6/1.mp3
罹患,"líhuàn (罹患, 罹患)","have, suffer from, suffer from an illness",top6/2.mp3
鼻子,"bízi5 (鼻子, 鼻子)","nasal, hooter, nozzle, snoot, sneezer, boko, schnozzle, conk, smeller, snout, beezer, proboscis, olfactory organ, snitch, nose, olfactory",top6/3.mp3
擊出,"jíchū (擊出, 击出)","strike, throw, pick up",top6/4.mp3
大象,"dàxiàng (大象, 大象)",elephant,top6/5.mp3
公立,"gōnglì (公立, 公立)","public,  established and maintained by the government",top6/6.mp3
中部,"zhōngbù (中部, 中部)","central section,  middle",top6/7.mp3
退出,"tuìchū (退出, 退出)","withdraw from, quit",top6/8.mp3
生命力,"shēngmìnglì (生命力, 生命力)","breath, animation, libido, lifeblood, Shakti, vitality, life",top6/9.mp3
任意,"rènyì (任意, 任意)","willfully, at_will, arbitrarily",top6/10.mp3
敘述,"xùshù (敘述, 叙述)","narrate, recount, relate",top6/11.mp3
沙灘,"shātān (沙灘, 沙滩)",sandy beach,top6/12.mp3
多元,"duōyuán (多元, 多元)","multiplex, multicomponent, multivariate, poly",top6/13.mp3
老人家,"lǎorénjiā (老人家, 老人家)","parent, parents, a respectful form of address for an old person, old person",top6/14.mp3
深處,"shēnchù (深處, 深处)","depth, bowel, recesses, profound, oceanic abyss, depths, deep, recess",top6/15.mp3
吵,"chǎo (吵, 吵)",shout for something,top6/16.mp3
次,"cì (次, 次)","det.: next, second",top6/17.mp3
企業家,"qìyèjiā (企業家, 企业家)","entrepreneur, industrial, big businessman, undertaker, enterpriser, business man",top6/18.mp3
時段,"shíduàn (時段, 时段)","slot, time slot, period of time",top6/19.mp3
放大,"fàngdà (放大, 放大)","megascopic, blow_up, magnify, blow up, amplify, enhance, enlarge, enlargement",top6/20.mp3
派,"pài (派, 派)",m.[kind],top6/21.mp3
宣告,"xuāngào (宣告, 宣告)","declare, proclaim",top6/22.mp3
差不多,"chābùduō (差不多, 差不多)","almost, about",top6/23.mp3
海域,"hǎiyū (海域, 海域)","water, waters, maritime space, sea area",top6/24.mp3
烤,"kǎo (烤, 烤)","oven broil, warm , hands, bake, feet,  near fire, torrefy, roast, scallop, warm , hands/feet,  near fire, parch, crisp, grill, warm near fire, broil, toast",top6/25.mp3
奇蹟,"qíjī (奇蹟, 奇蹟)","sign, prodigy, mirabilia, marvel, phenomenon, wonder, miracle, theurgy",top6/26.mp3
播放,"bòfàng (播放, 播放)","broadcast, transmit",top6/27.mp3
