key,alt,answer,audio
情報,"qíngbào (情報, 情报)","poop, intelligence, intelligencer, tip off, information, info, gen, dope",top4/1.mp3
前來,"qiánlái (前來, 前来)",come,top4/2.mp3
飛彈,"fēidàn (飛彈, 飞弹)","doodlebug, guided missile, V 1, flying bomb, stray bullet, buzz bomb, missile, missilery, robot",top4/3.mp3
虎,"hǔ (虎, 虎)",tiger,top4/4.mp3
寂寞,"jímò (寂寞, 寂寞)",be lonely,top4/5.mp3
專題,"zhuāntí (專題, 专题)",special subject/topic,top4/6.mp3
排名,"páimíng (排名, 排名)",put names in order,top4/7.mp3
怎樣,"zěnyàng (怎樣, 怎样)","no matter how, in any way, in a",top4/8.mp3
案例,"ànlì (案例, 案例)","moot, precedent, common law, example of case, case, case law",top4/9.mp3
傳送,"chuánsòng (傳送, 传送)","transmit, deliver",top4/10.mp3
允許,"yǔnxǔ (允許, 允许)","permit, allow",top4/11.mp3
認定,"rèndìng (認定, 认定)","firmly believe, set one's mind on sth.",top4/12.mp3
威脅,"wēixié (威脅, 威胁)",threat,top4/13.mp3
大聲,"dàshēng (大聲, 大声)","loud, loud voice",top4/14.mp3
當做,"dāngzuò (當做, 当做)","consider/treat as, function, consider, regard_as, regard as, serve, consider as, look upon as, treat",top4/15.mp3
經銷商,"jīngxiāoshāng (經銷商, 经销商)","dealership, bookdealer, manufacturer's agent, dealer, book seller, stockist, outlet, franchiser, franchisee",top4/16.mp3
將近,"jiāngjìn (將近, 将近)",almost,top4/17.mp3
戰,"zhàn (戰, 战)","war, warfare, battle",top4/18.mp3
愛心,"àixīn (愛心, 爱心)","liking, pity, love, benevolence, mercy, fondness, commitment",top4/19.mp3
回國,"huíguó (回國, 回国)",return to one's country,top4/20.mp3
跑到,"pǎodào (跑到, 跑到)",run to,top4/21.mp3
過來,"guòlái (過來, 过来)","come over/up, up, come over, come up, come_over, come here",top4/22.mp3
印度,"yìndù (印度, 印度)","Hindustan, Ind, India, Indic, Bharat",top4/23.mp3
音,"yīn (音, 音)","voice, rhyme, news, D, blast, F, sound, tone, aspirate, tidings, asterisk, pure tone",top4/24.mp3
待遇,"dàiyū (待遇, 待遇)",treatment salary/etc.,top4/25.mp3
開會,"kāihuì (開會, 开会)",hold/attend meeting,top4/26.mp3
身分,"shēnfèn (身分, 身分)","dignity, status, position, capacity, individuality, identity",top4/27.mp3
存,"cún (存, 存)","harbour, keep, deposit money , gather, harbor, cherish, accumulate, existence, live, leave with, retain, reserve, save, consist, accumulation, preserve, survival, store, survive, check",top4/28.mp3
留學,"liúxué (留學, 留学)",study abroad,top4/29.mp3
重要性,"zhòngyàoxìng (重要性, 重要性)","moment, eminence, significance, importance, essentiality, ponderance, amount, belongingness, emphasis, magnitude, meaning, account, consequence, gravity, matter, momentousness, distinction, import, accent, essentialness, mark, weight, value, signification, consideration, fundamentality, weightiness, vitalness, stress, prominence, heft, preeminence, materiality, note",top4/30.mp3
時機,"shíjī (時機, 时机)","moment, day, an occasion, occasion, go, an opportune moment, opportunity, conjunction, conjuncture, juncture, a suitable",top4/31.mp3
國科會,"guókēhuì (國科會, 国科会)",The National Science Council,top4/32.mp3
時刻,"shíkè (時刻, 时刻)","moment, occasion, juncture, sand, hour, time",top4/33.mp3
節,"jié (節, 节)",m.[event],top4/34.mp3
遭到,"zāodào (遭到, 遭到)","endure, encounter, meet with, run into, suffer, soak_up",top4/35.mp3
不已,"bùyǐ (不已, 不已)","incessantly, endlessly",top4/36.mp3
中油,"zhōngyóu (中油, 中油)",Chinese Petroleum Corporation,top4/37.mp3
景氣,"jǐngqì (景氣, 景气)","conjuncture, activity, boom, prosperity",top4/38.mp3
補充,"bǔchōng (補充, 补充)","supply, supplement, augment, replenishment, complement, eke, fill again, accompany, add, renew, replenish, implement, stock, recruit, refill",top4/39.mp3
公主,"gōngzhǔ (公主, 公主)",princess,top4/40.mp3
千萬,"qiānwàn (千萬, 千万)",by all means; absolutely,top4/41.mp3
公布,"gōngbù (公布, 公布)","promulgate, announce, publish",top4/42.mp3
