key,alt,answer,audio
探索,"tànsuǒ (探索, 探索)","explore,  probe",top5/1.mp3
滋味,"zīwèi (滋味, 滋味)","relish, richness, tang, sapidity, sapor, tinge, mouthful, savor, tasting, smack, flavor, savour, zest, taste, flavour",top5/2.mp3
血管,"xiěguǎn (血管, 血管)","afferent, vas, vena, blood_vessel, vessel, vein, blood vessel",top5/3.mp3
解,"jiě (解, 解)","separate, divide, cut apart, untie, undo, explain, interpret, dissolve",top5/4.mp3
籌備處,"chóubèichù (籌備處, 筹备处)",preparatory/arrangements committee,top5/5.mp3
團結,"tuánjié (團結, 团结)","unite, rally",top5/6.mp3
開拓,"kāituò (開拓, 开拓)","open up, develop, enlarge/expand territory/etc.",top5/7.mp3
喜悅,"xǐyuè (喜悅, 喜悦)","happy, joyous",top5/8.mp3
龍,"lóng (龍, 龙)","dragon, dinosaur",top5/9.mp3
價錢,"jiàqián (價錢, 价钱)","cost, monetary value, rate, price",top5/10.mp3
盡速,"jǐnsù (盡速, 尽速)",as quickly/soon as possible,top5/11.mp3
領導人,"lǐngdǎorén (領導人, 领导人)",leader,top5/12.mp3
慢性,"mànxìng (慢性, 慢性)","chronic, slow in taking effect",top5/13.mp3
台商,"táishāng (台商, 台商)",Taiwan merchants,top5/14.mp3
不致,"búzhì (不致, 不致)",without resulting in,top5/15.mp3
打工,"dǎgōng (打工, 打工)",work part time while studying,top5/16.mp3
創,"chuàng (創, 创)","initiate, create, start doing, achieve ... for the",top5/17.mp3
限,"xiàn (限, 限)","set a limit, restrict",top5/18.mp3
公營,"gōngyíng (公營, 公营)",publicly owned/operated,top5/19.mp3
根本,"gēnběn (根本, 根本)","essence,  foundation",top5/20.mp3
行,"xíng (行, 行)",m.[proximation],top5/21.mp3
珍惜,"zhēnxí (珍惜, 珍惜)","treasure, value, cherish, foster, appreciate, hold dear, prize, care for",top5/22.mp3
容量,"róngliàng (容量, 容量)","volume, measure of capacity, can, capability, capacity of",top5/23.mp3
園區,"yuánqū (園區, 园区)",park,top5/24.mp3
抬頭,"táitóu (抬頭, 抬头)","raise one's head, gain ground, improve, go up",top5/25.mp3
空地,"kòngdì (空地, 空地)","gap, area, open, vacant lot, clear, open ground/space, vacancy, open ground, building site, open",top5/26.mp3
所長,"suǒzhǎng (所長, 所长)",head of an institute/etc.,top5/27.mp3
停車,"tíngchē (停車, 停车)",park the car,top5/28.mp3
馬來西亞,"mǎláixīyǎ (馬來西亞, 马来西亚)","Malaya, Malaysia country in Asia , Malaysia",top5/29.mp3
國防,"guófáng (國防, 国防)","national defence, national defense",top5/30.mp3
帶有,"dàiyǒu (帶有, 带有)","have,  partake of",top5/31.mp3
淘汰,"táotài (淘汰, 淘汰)","weed out, competition, eliminate through selection, supersede, superannuate, weed, eliminate through",top5/32.mp3
注音,"zhùyīn (注音, 注音)",phonetic symbols,top5/33.mp3
實用,"shíyòng (實用, 实用)","practical, pragmatic, functional",top5/34.mp3
夢想,"mèngxiǎng (夢想, 梦想)",fond dream,top5/35.mp3
奮鬥,"fèndòu (奮鬥, 奋斗)","struggle, fight, strive",top5/36.mp3
頗為,"pǒwéi (頗為, 颇为)","rather, somewhat",top5/37.mp3
構造,"gòuzào (構造, 构造)","constitution, configuration, make up, build, anatomy, construction, structure, tectonic, fabric, compages, making, contexture, texture, conformation, apparatus, formation, architecture, makeup",top5/38.mp3
熱情,"rèqíng (熱情, 热情)",enthusiastic,top5/39.mp3
必定,"bìdìng (必定, 必定)","inevitably, sure, for sure, by all means, needs, necessarily, sure enough, sure",top5/40.mp3
水平,"shuǐpíng (水平, 水平)","level, horizontal, grade, degree, standard, horizontality",top5/41.mp3
比賽,"bǐsài (比賽, 比赛)",compete in a game/activity/match,top5/42.mp3
在乎,"zàihū (在乎, 在乎)","care about, take ... to heart, lie",top5/43.mp3
協議,"xiéyì (協議, 协议)",agreement,top5/44.mp3
編制,"biānzhì (編制, 编制)",authorized staff/force,top5/45.mp3
平面,"píngmiàn (平面, 平面)","smooth, planar, planeness, plane, tabulate, level, flatness, two dimensionality, table, sheet, horizontal surface, flat",top5/46.mp3
剛好,"gānghǎo (剛好, 刚好)","exact, just right",top5/47.mp3
彭,"péng (彭, 彭)",Surname,top5/48.mp3
放心,"fàngxīn (放心, 放心)","disburden, set one's mind at rest, set",top5/49.mp3
含有,"hányǒu (含有, 含有)","have, involve, infer, imply, tinge, include, number, carry, contain",top5/50.mp3
停留,"tíngliú (停留, 停留)",stay for a time or,top5/51.mp3
停車場,"tíngchēchǎng (停車場, 停车场)","parking_lot, parking area, parking, car_park, parking lot, car park, halt, yard, park",top5/52.mp3
售價,"shòujià (售價, 售价)","asking price, selling price, selling_price, sell price, price",top5/53.mp3
解除,"jiěchú (解除, 解除)","remove, relieve, get rid of",top5/54.mp3
照,"zhào (照, 照)","shine, illuminate",top5/55.mp3
無形,"wúxíng (無形, 无形)",invisible,top5/56.mp3
違法,"wéifǎ (違法, 违法)","illegal, be illegal, offend, violate, violate law, transgress, illegitimate, break the law",top5/57.mp3
北方,"běifāng (北方, 北方)","norland, septentrion, compass north, northern part of country, northernness, northern, magnetic",top5/58.mp3
感覺到,"gǎnjuédào (感覺到, 感觉到)","become aware, feel, sense",top5/59.mp3
打擊,"dǎjí (打擊, 打击)","stun, frustration, blow",top5/60.mp3
幢,"chuáng (幢, 幢)","Buddhist stone pillar, ancient streamer, ancient pennant, ancient",top5/61.mp3
模糊,"móhú (模糊, 模糊)","dim, fade, befog, blur, mix up, slur, fade out, blear, confuse, obscure",top5/62.mp3
對抗,"duìkàng (對抗, 对抗)","baulk, pit, combat, antagonise, encounter, counterwork, countervail, counteract, opposition, resistance, cope, breast, defend, fight, stem, play, battle, fight down, meet, fight back, antagonize, face, confront, front, oppose, contradict, controvert, balk, resist, jib, countercheck, take on, counterbalance, match",top5/63.mp3
駐,"zhù (駐, 驻)","halt, stay, be stationed at",top5/64.mp3
會場,"huìchǎng (會場, 会场)","assembly_hall, fraternity house, conference, assembly hall, conference/assembly hall, theater, meeting place, chapterhouse, meeting",top5/65.mp3
贏,"yíng (贏, 赢)","lick, beat, whip, gain, capot, win",top5/66.mp3
負,"fù (負, 负)","betray, abandon, go against",top5/67.mp3
景,"jǐng (景, 景)","view, Jing, shot, routine, bit, act, number, situation, scene, scenery, Surname, turn, condition",top5/68.mp3
回饋,"huíkuì (回饋, 回馈)","reward, feedback",top5/69.mp3
歧視,"qíshì (歧視, 歧视)","treat with bias, despise",top5/70.mp3
昆蟲,"kūnchóng (昆蟲, 昆虫)","bug, creeper, hexapod, coreid, insect, dor, coreid bug",top5/71.mp3
原料,"yuánliào (原料, 原料)","making, stuff, feedstock, ingredient, primary, raw_material, fodder, material, staple, raw material",top5/72.mp3
被迫,"bèipò (被迫, 被迫)","forced, be forced, be compelled/forced, be compelled",top5/73.mp3
雲,"yún (雲, 云)",cloud,top5/74.mp3
郵件,"yóujiàn (郵件, 邮件)","mail, postal items, V mail, mailing, postal matter, post, postbag, posting",top5/75.mp3
守,"shǒu (守, 守)","guard, defend, keep watch",top5/76.mp3
下來,"xiàlái (下來, 下来)",[aspect],top5/77.mp3
槍,"qiāng (槍, 枪)","rifle, gun",top5/78.mp3
劍,"jiàn (劍, 剑)","sword, skewer, fox, sabre, steel, snickersnee, brand, bilbo, saber, blade, glaive, falchion",top5/79.mp3
課外,"kèwài (課外, 课外)","extracurricular, outside class, after school",top5/80.mp3
寧靜,"níngjìng (寧靜, 宁静)","peaceful, tranquil, quiet",top5/81.mp3
論,"lùn (論, 论)","discuss, talk about, consider, regard, mention, determine, decide on, discourse",top5/82.mp3
編,"biān (編, 编)","group, arrangement, arrange, invent, entwine, weave, organize, edit, compilation, write, invention, pleach, cook up, plait, make up, braid, raddle, fabricate, compose, compile, fabrication",top5/83.mp3
分組,"fēnzǔ (分組, 分组)",divide into groups,top5/84.mp3
預測,"yūcè (預測, 预测)","calculate, forecast",top5/85.mp3
一同,"yītóng (一同, 一同)",together,top5/86.mp3
密集,"mìjí (密集, 密集)","concentrated, crowded together",top5/87.mp3
代替,"dàitì (代替, 代替)","fill in, replace, supply, supersede, replacement, substitute for, surrogate, oust, substitute, stand_in, stand in, cover, supplant, take the",top5/88.mp3
凡是,"fánshì (凡是, 凡是)",conj.: whatever,top5/89.mp3
開辦,"kāibàn (開辦, 开办)","open, set up, start business/etc.",top5/90.mp3
意志,"yìzhì (意志, 意志)","volition, will, zap, determination, pleasure, heart, willpower",top5/91.mp3
創造力,"chuàngzàolì (創造力, 创造力)","imagination, creativeness, creative power, numen, device, creativity, Shakti, originality, ability, ingenuity, creative ability, wallop, creative power/ability",top5/92.mp3
猜,"cāi (猜, 猜)","guess, conjecture, speculation, suspect, put_on, speculate",top5/93.mp3
晚間,"wǎnjiān (晚間, 晚间)","in the evening, night, in",top5/94.mp3
掙扎,"zhēngzhá (掙扎, 挣扎)","pull, buffet, flounder, labour, scrabble, struggle, worry, twist, grapple, tug, baffle, touse, wallow, flounce, writhe, welter, agonize",top5/95.mp3
瓶,"píng (瓶, 瓶)","cruse, flask, vase, bottle, ninepin, jug, jar, pot, ampulla, m.[container], ",top5/96.mp3
美金,"měijīn (美金, 美金)","buck, dollar, U.S. dollar",top5/97.mp3
挖,"wā (挖, 挖)","scrape, scoop up, scoop, pick, excavate, excavation, grub, lift out, take up, scoop out, dig, grave",top5/98.mp3
投手,"tóushǒu (投手, 投手)","pitcher, twirler, hurler, caster, bowler",top5/99.mp3
歸,"guī (歸, 归)","return ... to, put in sb.'s",top5/100.mp3
發明,"fāmíng (發明, 发明)","invent, expound",top5/101.mp3
考察,"kǎochá (考察, 考察)","inspect, make on the spot investigation, observe",top5/102.mp3
驚訝,"jīngyà (驚訝, 惊讶)","amazed, astounded",top5/103.mp3
聽眾,"tīngzhòng (聽眾, 听众)","auditor, listener, hearer, audience, auditory, gallery, listeners",top5/104.mp3
不可以,"bùkěyǐ (不可以, 不可以)","cannot, should not, must not",top5/105.mp3
外國人,"wàiguórén (外國人, 外国人)","tramontane, gaijin, outlander, foreigner, alien, stranger, foriegner, uitlander, noncitizen, malihini",top5/106.mp3
工資,"gōngzī (工資, 工资)","earning, hire, remuneration, screw, laborage, pay, paycheck, wages, earnings, pay_packet, salary, wage_scale, differential, wage",top5/107.mp3
平台,"píngtái (平台, 平台)","patio, terrace, hathpace, platform",top5/108.mp3
