key,alt,answer,audio
一,"yī (一, 一)",det.: one,top1/1.mp3
在,"zài (在, 在)","in, at, on, etc.",top1/2.mp3
有,"yǒu (有, 有)","have, possess",top1/3.mp3
個,"ge (個, 个)",m.[general],top1/4.mp3
我,"wǒ (我, 我)","I, me, ego, self",top1/5.mp3
不,"bù (不, 不)","non, do not, no, nowise, not, nope, nae, no more, nix",top1/6.mp3
這,"zhè (這, 这)","now, this, det.: this, it",top1/7.mp3
了,"le (了, 了)",entirely,top1/8.mp3
他,"tā (他, 他)","he,  she,  it,  they",top1/9.mp3
也,"yě (也, 也)","also, too, as well, either, even",top1/10.mp3
就,"jiù (就, 就)","then,  at once,  right away,  an indicator strengthening speaker's evaluation",top1/11.mp3
人,"rén (人, 人)","person,  people",top1/12.mp3
都,"dōu (都, 都)","all, even, already",top1/13.mp3
說,"shuō (說, 说)","speak, talk, explain, scold",top1/14.mp3
而,"ér (而, 而)",conj.: and yet,top1/15.mp3
我們,"wǒmen (我們, 我们)",we,top1/16.mp3
你,"nǐ (你, 你)",you,top1/17.mp3
要,"yào (要, 要)","must, should",top1/18.mp3
會,"huì (會, 会)",will,top1/19.mp3
對,"duì (對, 对)",toward,top1/20.mp3
及,"jí (及, 及)",conj.: and,top1/21.mp3
和,"hé (和, 和)",conj.: and,top1/22.mp3
與,"yǔ (與, 与)","conj.: and, together with",top1/23.mp3
以,"yǐ (以, 以)","using,  taking,  from a point on,  because of",top1/24.mp3
很,"hěn (很, 很)","pretty, thrice, monstrously, gey, quite, mighty, stinking, sopping, some, assai, full, most, clinking, much, thumping, awfully, fiendishly, thundering, very, real, really, bally, proper, grossly, powerful, so, rattling, well, considerably, greatly, terribly",top1/25.mp3
種,"zhǒng (種, 种)",m.[kind],top1/26.mp3
的,"de (的, 的)",particle: emphasizing an action/situation,top1/27.mp3
大,"dà (大, 大)","great, macro, old, very, vast, tall, big, high, much",top1/28.mp3
能,"néng (能, 能)",can or to be capable of,top1/29.mp3
著,"zhe (著, 着)",[aspect],top1/30.mp3
她,"tā (她, 她)","she, her, she  ,",top1/31.mp3
那,"nà (那, 那)",det.: that,top1/32.mp3
上,"shàng (上, 上)","on, above",top1/33.mp3
但,"dàn (但, 但)","conj.: but, yet, still, nevertheless, only, merely",top1/34.mp3
年,"nián (年, 年)",m.[standard],top1/35.mp3
還,"hái (還, 还)","still, yet, also, too, as well, besides",top1/36.mp3
可以,"kěyǐ (可以, 可以)","can, may",top1/37.mp3
最,"zuì (最, 最)","most, to the highest degree, much, superlatively",top1/38.mp3
自己,"zìjǐ (自己, 自己)","lonesome, number_one, own, ego, self, oneself, name",top1/39.mp3
為,"wéi (為, 为)",by,top1/40.mp3
來,"lái (來, 来)",to,top1/41.mp3
所,"suǒ (所, 所)",that which,top1/42.mp3
他們,"tāmen (他們, 他们)",they,top1/43.mp3
兩,"liǎng (兩, 两)","det.: two, both sides , either",top1/44.mp3
各,"gè (各, 各)","det.: each, every",top1/45.mp3
可,"kě (可, 可)","can, may",top1/46.mp3
或,"huò (或, 或)","conj.: or, either or",top1/47.mp3
好,"hǎo (好, 好)",good,top1/48.mp3
等,"děng (等, 等)","conj.: and so on,  etc",top1/49.mp3
又,"yòu (又, 又)","again, moreover",top1/50.mp3
將,"jiāng (將, 将)",be about to,top1/51.mp3
因為,"yīnwèi (因為, 因为)","conj.: because, for, on account of",top1/52.mp3
於,"yú (於, 于)","in, at, to, from, out of, by",top1/53.mp3
由,"yóu (由, 由)","from, via, by, through, owing/due to",top1/54.mp3
從,"cóng (從, 从)","from, since, through",top1/55.mp3
更,"gèng (更, 更)","more, still/even more, further, furthermore",top1/56.mp3
被,"bèi (被, 被)",by,top1/57.mp3
才,"cái (才, 才)","then and only then,  just now,  only before a number",top1/58.mp3
已,"yǐ (已, 已)",already,top1/59.mp3
者,"zhě (者, 者)","nominal suffix, one who,  er",top1/60.mp3
每,"měi (每, 每)",det.: every,top1/61.mp3
次,"cì (次, 次)",m.[activity],top1/62.mp3
